ColumnTitle,Description,Datatype,Property,ObservablePropertyUrl,Unit,UnitUrl,Cell2URL
Observatory-ID,Observatory ID,xsd:string,schema:identifier,,,,
ARMS-ID,ARMS unit ID,xsd:string,schema:identifier,,,,
MaterialSample-ID,Material Sample ID,xsd:string,schema:identifier,,,,
Event-ID,Event ID,xsd:string,schema:identifier,,,,
Deployment Date,Date the ARMS unit was deployed,xsd:datetime,schema:startDate,,,,
Collection Date,Date the ARMS unit was retrieved,xsd:datetime,schema:endDate,,,,
Observatory-ID,Observatory ID,xsd:string,schema:identifier,,,,
ARMS-ID,ARMS unit ID,xsd:string,schema:identifier,,,,
Country,Country of the observatory,xsd:string,schema:Country,,,,
Fraction_Specific,The filtered fraction of the material sample + the filter size,xsd:string,schema:description,,,,
Fraction,The filtered fraction of the material sample,xsd:string,schema:description,,,,
Preservative,The preservative used,xsd:string,schema:description,,,,
Filter (micrometer),The pore size of the filter (lower limit; material larger than this is collected),xsd:integer,qudt:numericValue        ,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,micrometre,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
Crate cover used during retrieval,Was a crate cover used during retrieval of the unit,xsd:string,schema:description,,,,
OriginalSample-ID,Material Sample ID as written on the shipped samples,xsd:string,schema:identifier,,,,
gene_COI,ENA run accession number for the COI sequence,xsd:identifier,http://edamontology.org/data_1093, ,,,
COI_demultiplexed,Demultiplexing method used,xsd:string,schema:description,,,,
gene_COI_negative_control,ENA run accession number for the negative control COI sequence,xsd:identifier,http://edamontology.org/data_1093,,,,
gene_ITS,ENA run accession number for the ITS sequence,xsd:identifier,http://edamontology.org/data_1093,,,,
ITS_demultiplexed,Demultiplexing method used,xsd:string,schema:description,,,,
gene_ITS_negative_control,ENA run accession number for the  negative control ITS sequence,xsd:identifier,http://edamontology.org/data_1093,,,,
gene_18S,ENA run accession number for the 18S sequence,xsd:identifier,http://edamontology.org/data_1093,,,,
18S_demultiplexed,Demultiplexing method used,xsd:string,schema:description,,,,
gene_18S_negative_control,ENA run accession number for the  negative control18S sequence,xsd:identifier,http://edamontology.org/data_1093,,,,
initial number of paired-end reads,initial number of paired-end reads,xsd:integer,qudt:numericValue,,,,
initial number of paired-end reads,initial number of paired-end reads,xsd:integer,qudt:numericValue,,,,
initial number of paired-end reads,initial number of paired-end reads,xsd:integer,qudt:numericValue,,,,
Cleaned sequences,Unknown,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
FastQC Report,FastQC report,xsd:string,xsd:description,,,,
Open access date,Date on which the ENA data become open access (CC BY),xsd:datetime,schema:Date,,,,
 ,,,,,,,