Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,gene_COI,gene_18S,gene_ITS,negativeControl_gene_COI,negativeControl_gene_18S,negativeControl_gene_ITS,AccessRights,latitude,longitude,depth,Fraction,Preservative,Filter
ARMS_BelgianCoast_AZBE1_190924_200303_MF100_DMSO,Belgium,BelgiumCoast,AZBE1,2019-09-24,2020-03-03,ERR7125498,ERR7125496,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,51.364298,3.20701,7,Motile,DMSO,100
ARMS_BelgianCoast_AZBE1_190924_200303_MF500_DMSO,Belgium,BelgiumCoast,AZBE1,2019-09-24,2020-03-03,ERR4914228,ERR4914227,ERR4914229,ERR4914160,ERR4914102,ERR4914218,CC BY,51.364298,3.20701,7,Motile,DMSO,500
ARMS_BelgianCoast_AZBE1_190924_200303_SF40_DMSO,Belgium,BelgiumCoast,AZBE1,2019-09-24,2020-03-03,ERR7125478,ERR7125477,ERR7125479,ERR7125534,ERR7125533,ERR7125535,CC BY,51.364298,3.20701,7,Sessile,DMSO,40
ARMS_BelgianCoast_AZFPin_180712_180818_MF200_EtOH,Belgium,BelgiumCoast,AZFPin,2018-07-12,2018-08-18,ERR7125497,ERR7125495,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,51.66522,2.82558,37,Motile,EtOH,200
ARMS_BelgianCoast_AZFPin_180712_180818_MF500_EtOH,Belgium,BelgiumCoast,AZFPin,2018-07-12,2018-08-18,ERR4018736,ERR4605228,ERR4018735,ERR4018737,ERR4605902,ERR4018475,CC BY,51.66522,2.82558,37,Motile,EtOH,500
ARMS_BelgiumCoast_AJJC81_200506_201012_MF100_DMSO,Belgium,BelgiumCoast,AJJC81,2020-05-06,2020-10-12,ERR7125481,ERR7125480,ERR7125482,ERR7125534,ERR7125533,ERR7125535,CC BY,51.6533567,2.79178508,38,Motile,DMSO,100
ARMS_BelgiumCoast_AJJC81_200506_201012_MF500_DMSO,Belgium,BelgiumCoast,AJJC81,2020-05-06,2020-10-12,ERR7125484,ERR7125483,ERR7125485,ERR7125534,ERR7125533,ERR7125535,CC BY,51.6533567,2.79178508,38,Motile,DMSO,500
ARMS_BelgiumCoast_AJJC86_200506_201012_MF100_DMSO,Belgium,BelgiumCoast,AJJC86,2020-05-06,2020-10-12,ERR7125487,ERR7125486,ERR7125488,ERR7125534,ERR7125533,ERR7125535,CC BY,51.65264,2.79369998,37,Motile,DMSO,100
ARMS_BelgiumCoast_AJJC86_200506_201012_MF500_DMSO,Belgium,BelgiumCoast,AJJC86,2020-05-06,2020-10-12,ERR7125490,ERR7125489,ERR7125491,ERR7125534,ERR7125533,ERR7125535,CC BY,51.65264,2.79369998,37,Motile,DMSO,500
ARMS_BelgiumCoast_AJJCD78_200506_201012_MF100_DMSO,Belgium,BelgiumCoast,AJJCD78,2020-05-06,2020-10-12,ERR7125493,ERR7125492,ERR7125494,ERR7125534,ERR7125533,ERR7125535,CC BY,51.65374944,2.79602577,38,Motile,DMSO,100
ARMS_Bodo_GStraB_190621_201207_MF100_DMSO,Norway,Bodo,GStraB,2019-06-21,2020-12-07,ERR9632090,ERR9632075,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,67.24035,14.711733,2,Motile,DMSO,100
ARMS_Bodo_GStraB_190621_201207_MF500_DMSO,Norway,Bodo,GStraB,2019-06-21,2020-12-07,ERR9632091,ERR9632076,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,67.24035,14.711733,2,Motile,DMSO,500
ARMS_Bodo_GStraB_190621_201207_SF50_DMSO,Norway,Bodo,GStraB,2019-06-21,2020-12-07,ERR9632089,ERR9632074,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,67.24035,14.711733,2,Sessile,DMSO,50
ARMS_Bodo_GStraM_190621_201207_MF100_DMSO,Norway,Bodo,GStraM,2019-06-21,2020-12-07,ERR9632093,ERR9632078,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,67.240217,14.711533,2,Motile,DMSO,100
ARMS_Bodo_GStraM_190621_201207_MF500_DMSO,Norway,Bodo,GStraM,2019-06-21,2020-12-07,ERR9632094,ERR9632079,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,67.240217,14.711533,2,Motile,DMSO,500
ARMS_Bodo_GStraM_190621_201207_SF50_DMSO,Norway,Bodo,GStraM,2019-06-21,2020-12-07,ERR9632092,ERR9632077,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,67.240217,14.711533,2,Sessile,DMSO,50
ARMS_Crete_1HERP_180928_190128_MF125_DMSO,Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR9632063,ERR9632060,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,35.343153,25.136605,4,Motile,DMSO,125
ARMS_Crete_1HERP_180928_190128_MF125_EtOH,Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR9632064,ERR9632061,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,35.343153,25.136605,4,Motile,EtOH,125
ARMS_Crete_1HERP_180928_190128_MF500_DMSO,Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460468,ERR4605086,ERR4018431,ERR3460471,ERR4605902,ERR4018475,CC BY,35.343153,25.136605,4,Motile,DMSO,500
ARMS_Crete_1HERP_180928_190128_MF500_EtOH,Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460469,ERR4605087,ERR4018432,ERR3460471,ERR4605902,ERR4018475,CC BY,35.343153,25.136605,4,Motile,EtOH,500
ARMS_Crete_1HERP_180928_190128_PS250_EtOH,Greece,Crete,1HERP,2018-09-28,2019-01-28,failed,ERR4605089,ERR4018434,failed,ERR4605902,ERR4018475,CC BY,35.343153,25.136605,4,Plankton,EtOH,250
ARMS_Crete_1HERP_180928_190128_SED_Frozen,Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460470,ERR4605088,ERR4018433,ERR3460471,ERR4605902,ERR4018475,CC BY,35.343153,25.136605,4,Sediment,Frozen,none
ARMS_Crete_1HERP_180928_190128_SF_DMSO,Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460466,ERR4605084,ERR4018429,ERR3460471,ERR4605902,ERR4018475,CC BY,35.343153,25.136605,4,Sessile,DMSO,none
ARMS_Crete_1HERP_180928_190128_SF_EtOH,Greece,Crete,1HERP,2018-09-28,2019-01-28,ERR3460467,ERR4605085,ERR4018430,ERR3460471,ERR4605902,ERR4018475,CC BY,35.343153,25.136605,4,Sessile,EtOH,none
ARMS_Crete_1HERP_190612_191011_MF500_Frozen,Greece,Crete,1HERP,2019-06-12,2019-10-11,ERR7125537,ERR7125536,ERR7125538,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Motile,Frozen,500
ARMS_Crete_1HERP_190612_191011_MF90_Frozen,Greece,Crete,1HERP,2019-06-12,2019-10-11,ERR7125540,ERR7125539,ERR7125541,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Motile,Frozen,90
ARMS_Crete_1HERP_190612_191011_SF_Frozen,Greece,Crete,1HERP,2019-06-12,2019-10-11,ERR7125543,ERR7125542,ERR7125544,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Sessile,Frozen,none
ARMS_Crete_1HERP_190612_200210_MF500_Frozen,Greece,Crete,1HERP,2019-06-12,2020-02-10,ERR7125546,ERR7125545,ERR7125547,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Motile,Frozen,500
ARMS_Crete_1HERP_190612_200210_MF90_Frozen,Greece,Crete,1HERP,2019-06-12,2020-02-10,ERR7125549,ERR7125548,ERR7125550,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Motile,Frozen,90
ARMS_Crete_1HERP_190612_200210_SF_Frozen,Greece,Crete,1HERP,2019-06-12,2020-02-10,ERR7125552,ERR7125551,ERR7125553,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Sessile,Frozen,none
ARMS_Crete_1HERP_190612_200618_MF500_Frozen,Greece,Crete,1HERP,2019-06-12,2020-06-18,ERR7125555,ERR7125554,ERR7125556,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Motile,Frozen,500
ARMS_Crete_1HERP_190612_200618_MF90_Frozen,Greece,Crete,1HERP,2019-06-12,2020-06-18,ERR7125558,ERR7125557,ERR7125559,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Motile,Frozen,90
ARMS_Crete_1HERP_190612_200618_SF_Frozen,Greece,Crete,1HERP,2019-06-12,2020-06-18,ERR7125561,ERR7125560,ERR7125562,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Sessile,Frozen,none
ARMS_Crete_1HERP_200903_210122_MF500_Frozen,Greece,Crete,1HERP,2020-09-03,2021-01-22,ERR7125564,ERR7125563,ERR7125565,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Motile,Frozen,500
ARMS_Crete_1HERP_200903_210122_MF90_Frozen,Greece,Crete,1HERP,2020-09-03,2021-01-22,ERR7125567,ERR7125566,ERR7125568,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Motile,Frozen,90
ARMS_Crete_1HERP_200903_210122_SF_Frozen,Greece,Crete,1HERP,2020-09-03,2021-01-22,ERR7125570,ERR7125569,ERR7125571,ERR7125534,ERR7125533,ERR7125535,CC BY,35.343153,25.136605,4,Sessile,Frozen,none
ARMS_Crete_2UBPC_190924_201211_MF500_Frozen,Greece,Crete,2UBPC,2019-09-24,2020-12-11,ERR7125573,ERR7125572,ERR7125574,ERR7125534,ERR7125533,ERR7125535,CC BY,35.34662,25.27876,21,Motile,Frozen,500
ARMS_Crete_2UBPC_190924_201211_MF90_Frozen,Greece,Crete,2UBPC,2019-09-24,2020-12-11,ERR7125576,ERR7125575,ERR7125577,ERR7125534,ERR7125533,ERR7125535,CC BY,35.34662,25.27876,21,Motile,Frozen,90
ARMS_Crete_2UBPC_190924_201211_SF_Frozen,Greece,Crete,2UBPC,2019-09-24,2020-12-11,ERR7125579,ERR7125578,ERR7125580,ERR7125534,ERR7125533,ERR7125535,CC BY,35.34662,25.27876,21,Sessile,Frozen,none
ARMS_Eilat_Katza1_181024_200607_MF100_DMSO,Israel,Eilat,Katza1 ,2018-10-24,2020-06-07,ERR7127623,ERR7127611,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.52,34.934444,10,Motile,DMSO,100
ARMS_Eilat_Katza1_181024_200607_MF500_DMSO,Israel,Eilat,Katza1 ,2018-10-24,2020-06-07,ERR7127624,ERR7127612,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.52,34.934444,10,Motile,DMSO,500
ARMS_Eilat_Katza1_181024_200607_SF45_DMSO,Israel,Eilat,Katza1 ,2018-10-24,2020-06-07,ERR7127625,ERR7127613,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.52,34.934444,10,Sessile,DMSO,45
ARMS_Eilat_Katza2_181024_200803_MF100_DMSO,Israel,Eilat,Katza2 ,2018-10-24,2020-08-03,ERR7127626,ERR7127614,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.52,34.934444,10,Motile,DMSO,100
ARMS_Eilat_Katza2_181024_200803_MF500_DMSO,Israel,Eilat,Katza2 ,2018-10-24,2020-08-03,ERR7127627,ERR7127615,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.52,34.934444,10,Motile,DMSO,500
ARMS_Eilat_Katza2_181024_200803_SF45_DMSO,Israel,Eilat,Katza2 ,2018-10-24,2020-08-03,ERR7127628,ERR7127616,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.52,34.934444,10,Sessile,DMSO,45
ARMS_Eilat_NR1_181017_200204_MF100_DMSO,Israel,Eilat,NR1 ,2018-10-17,2020-04-02,ERR7127629,ERR7127617,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.50555,34.920278,10,Motile,DMSO,100
ARMS_Eilat_NR1_181017_200204_MF500_DMSO,Israel,Eilat,NR1 ,2018-10-17,2020-04-02,ERR7127630,ERR7127618,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.50555,34.920278,10,Motile,DMSO,500
ARMS_Eilat_NR1_181017_200204_SF45_DMSO,Israel,Eilat,NR1 ,2018-10-17,2020-04-02,ERR7127631,ERR7127619,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.50555,34.920278,10,Sessile,DMSO,45
ARMS_Eilat_NR2_181017_200524_MF100_DMSO,Israel,Eilat,NR2 ,2018-10-17,2020-05-24,ERR7127632,ERR7127620,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.50555,34.920278,10,Motile,DMSO,100
ARMS_Eilat_NR2_181017_200524_MF500_DMSO,Israel,Eilat,NR2 ,2018-10-17,2020-05-24,ERR7127633,ERR7127621,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.50555,34.920278,10,Motile,DMSO,500
ARMS_Eilat_NR2_181017_200524_SF45_DMSO,Israel,Eilat,NR2 ,2018-10-17,2020-05-24,ERR7127634,ERR7127622,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.50555,34.920278,10,Sessile,DMSO,45
ARMS_Gdynia_GDY1_180813_191029_MF100_DMSO-EDTA,Poland,Gdynia,GDY1,2018-08-13,2019-10-29,ERR4018726,ERR4018722,ERR4018724,ERR4018471,ERR4018472,ERR4018473,CC BY,54.48522,18.57111,4,Motile,DMSO-EDTA,100
ARMS_Gdynia_GDY1_180813_191029_MF500_DMSO-EDTA,Poland,Gdynia,GDY1,2018-08-13,2019-10-29,ERR4018727,ERR4018723,ERR4018725,ERR4018471,ERR4018472,ERR4018473,CC BY,54.48522,18.57111,4,Motile,DMSO-EDTA,500
ARMS_Gdynia_GDY1_180813_191029_SF38_DMSO-EDTA,Poland,Gdynia,GDY1,2018-08-13,2019-10-29,failed,failed,failed,ERR7125534,ERR7125533,ERR7125535,CC BY,54.48522,18.57111,4,Sessile,DMSO-EDTA,38
ARMS_Gdynia_GDY1_190619_191029_MF100_DMSO-EDTA,Poland,Gdynia,GDY1,2019-06-19,2019-10-29,ERR9632087,ERR9632072,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,54.48522,18.57111,4,Motile,DMSO-EDTA,100
ARMS_Gdynia_GDY1_190619_191029_MF500_DMSO-EDTA,Poland,Gdynia,GDY1,2019-06-19,2019-10-29,ERR7125527,ERR7125526,ERR7125528,ERR7125534,ERR7125533,ERR7125535,CC BY,54.48522,18.57111,4,Motile,DMSO-EDTA,500
ARMS_Gdynia_GDY1_190619_191029_SF38_DMSO-EDTA,Poland,Gdynia,GDY1,2019-06-19,2019-10-29,ERR9632088,ERR9632073,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,54.48522,18.57111,4,Sessile,DMSO-EDTA,38
ARMS_Getxo_G1_190624_191016_MF100_DMSO,Spain,Getxo,G1,2019-06-24,2019-10-16,ERR7127704,ERR7127693,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.338452,-3.014833,5,Motile,DMSO,100
ARMS_Getxo_G1_190624_191016_MF500_DMSO,Spain,Getxo,G1,2019-06-24,2019-10-16,ERR7127705,ERR7127694,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.338452,-3.014833,5,Motile,DMSO,500
ARMS_Getxo_G1_190624_191016_SF40_DMSO,Spain,Getxo,G1,2019-06-24,2019-10-16,ERR7127706,ERR7127695,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.338452,-3.014833,5,Sessile,DMSO,40
ARMS_Getxo_G1_200624_201103_MF100_DMSO,Spain,Getxo,G1,2020-06-24,2020-11-03,ERR7127667,ERR7127666,ERR7127668,ERR7125534,ERR7125533,ERR7125535,CC BY,43.338452,-3.014833,5,Motile,DMSO,100
ARMS_Getxo_G1_200624_201103_MF500_DMSO,Spain,Getxo,G1,2020-06-24,2020-11-03,ERR7127670,ERR7127669,ERR7127671,ERR7125534,ERR7125533,ERR7125535,CC BY,43.338452,-3.014833,5,Motile,DMSO,500
ARMS_Getxo_G1_200624_201103_SF40_DMSO,Spain,Getxo,G1,2020-06-24,2020-11-03,ERR7127673,ERR7127672,ERR7127674,ERR7125534,ERR7125533,ERR7125535,CC BY,43.338452,-3.014833,5,Sessile,DMSO,40
ARMS_Getxo_G2_190624_191016_MF100_DMSO,Spain,Getxo,G2,2019-06-24,2019-10-16,ERR7127676,ERR7127675,ERR7127677,ERR7125534,ERR7125533,ERR7125535,CC BY,43.3385,-3.01491,5,Motile,DMSO,100
ARMS_Getxo_G2_190624_191016_MF500_DMSO,Spain,Getxo,G2,2019-06-24,2019-10-16,ERR7127707,ERR7127696,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.3385,-3.01491,5,Motile,DMSO,500
ARMS_Getxo_G2_190624_191016_SF40_DMSO,Spain,Getxo,G2,2019-06-24,2019-10-16,ERR7127708,ERR7127697,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.3385,-3.01491,5,Sessile,DMSO,40
ARMS_Getxo_G2_200624_201103_MF100_DMSO,Spain,Getxo,G2,2020-06-24,2020-11-03,ERR7127679,ERR7127678,ERR7127680,ERR7125534,ERR7125533,ERR7125535,CC BY,43.3385,-3.01491,5,Motile,DMSO,100
ARMS_Getxo_G2_200624_201103_SF40_DMSO,Spain,Getxo,G2,2020-06-24,2020-11-03,ERR7127682,ERR7127681,ERR7127683,ERR7125534,ERR7125533,ERR7125535,CC BY,43.3385,-3.01491,5,Sessile,DMSO,40
ARMS_Getxo_G3_190624_191016_MF100_DMSO,Spain,Getxo,G3,2019-06-24,2019-10-16,ERR7127709,ERR7127698,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.33843,-3.01483,5,Motile,DMSO,100
ARMS_Getxo_G3_190624_191016_MF500_DMSO,Spain,Getxo,G3,2019-06-24,2019-10-16,ERR7127710,ERR7127699,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.33843,-3.01483,5,Motile,DMSO,500
ARMS_Getxo_G3_190624_191016_SF40_DMSO,spain,Getxo,G3,2019-06-24,2019-10-16,ERR7127711,ERR7127700,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.33843,-3.01483,5,Sessile,DMSO,40
ARMS_Getxo_G3_200624_201103_MF100_DMSO,Spain,Getxo,G3,2020-06-24,2020-11-03,ERR7127685,ERR7127684,ERR7127686,ERR7125534,ERR7125533,ERR7125535,CC BY,43.33843,-3.01483,5,Motile,DMSO,100
ARMS_Getxo_G3_200624_201103_SF40_DMSO,Spain,Getxo,G3,2020-06-24,2020-11-03,ERR7127688,ERR7127687,ERR7127689,ERR7125534,ERR7125533,ERR7125535,CC BY,43.33843,-3.01483,5,Sessile,DMSO,40
ARMS_Koster_VH1_180418_190527_MF100_DMSO,Sweden,Koster,VH1,2018-04-18,2019-05-27,ERR4018467,ERR4018457,ERR4018462,ERR4018471,ERR4018472,ERR4018473,CC BY,58.875155,11.103194,24,Motile,DMSO,100
ARMS_Koster_VH1_180418_190527_MF500_DMSO,Sweden,Koster,VH1,2018-04-18,2019-05-27,ERR4018466,ERR4018456,ERR4018461,ERR4018471,ERR4018472,ERR4018473,CC BY,58.875155,11.103194,24,Motile,DMSO,500
ARMS_Koster_VH1_180418_190527_SF40_DMSO,Sweden,Koster,VH1,2018-04-18,2019-05-27,ERR4018468,ERR4018458,ERR4018463,ERR4018471,ERR4018472,ERR4018473,CC BY,58.875155,11.103194,24,Sessile,DMSO,40
ARMS_Koster_VH1_190527_200716_MF100_DMSO,Sweden,Koster,VH1,2019-05-27,2020-07-16,ERR4914103,ERR4914045,ERR4914161,ERR4914160,ERR4914102,ERR4914218,CC BY,58.875155,11.103194,24,Motile,DMSO,100
ARMS_Koster_VH1_190527_200716_MF500_DMSO,Sweden,Koster,VH1,2019-05-27,2020-07-16,ERR4914104,ERR4914046,ERR4914162,ERR4914160,ERR4914102,ERR4914218,CC BY,58.875155,11.103194,24,Motile,DMSO,500
