Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth_min (m),Depth_max (m),Field replicates,Monitoring area,Habitat keywords (env_local),IUCN habitat type,Description,Notes,env_broad_scale,env_local_scale,env_medium_scale,add. info,MarineRegion_larger,MarineRegion_smaller, 
Altantic coast (Norway),NOR,Bodo,GStraB,67.24035,14.711733,2,2,GStra,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs,"The ARMS is deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. GStraB is situated on boulders in the vicinity of narrowing with strong tidal currents. Both ARMS (GStraM and GStraB) are situated within a radius of 50 m.  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243],boulders,Vestfjorden (http://marineregions.org/mrgid/18664),Skjærstadfjord (http://marineregions.org/mrgid/63054),
Altantic coast (Norway),NOR,Bodo,GStraM,67.240217,14.711533,2,2,GStra,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"The ARMS are deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. The site GStraM is situated on sandy bottom with maerl nodules loosely occurring in the vicinity. Both ARMS (GStraM and GStraB are situated within a radius of 50 m.  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and maerl nodules,Vestfjorden (http://marineregions.org/mrgid/18664),Skjærstadfjord (http://marineregions.org/mrgid/63054),
Antarctica (UK),GBR,Rothera,Cheshire1,-67.5738333,-68.1252333,20,20,none,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky substratum,Marguerite Bay (http://marineregions.org/mrgid/10394),,
Antarctica (UK),GBR,Rothera,HangarCove1,-67.5641667,-68.1249667,12,12,HangarCove,LTER site,LHI (Low human influence),,,lost,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],,,Marguerite Bay (http://marineregions.org/mrgid/10394),,
Antarctica (UK),GBR,Rothera,HangarCove2,-67.5641667,-68.1249667,12,12,HangarCove,LTER site,LHI (Low human influence),,,lost,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],,,Marguerite Bay (http://marineregions.org/mrgid/10394),,
Antarctica (UK),GBR,Rothera,HangarCove3,-67.5641667,-68.1249667,12,12,HangarCove,LTER site,LHI (Low human influence),,,lost,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],,,Marguerite Bay (http://marineregions.org/mrgid/10394),,
Antarctica (UK),GBR,Rothera,SouthCove1,-67.575,-68.1346667,21,21,none,LTER site,LHI (Low human influence),,, ,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky substratum,Marguerite Bay (http://marineregions.org/mrgid/10394),,
Atlantic coast (Ireland),IRL,Galway,Gurr1,53.315693,-9.670278,6.6,6.6,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy sediment among large boulders,Kilkieran Bay and Islands (http://marineregions.org/mrgid/28614),,
Atlantic coast (Ireland),IRL,Galway,Gurr2,53.315675,-9.668541,6.2,6.2,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy sediment among large boulders,Kilkieran Bay and Islands (http://marineregions.org/mrgid/28614),,
Atlantic coast (Ireland),IRL,Galway,Gurr3,53.315443,-9.671564,7.2,7.2,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy sediment among large boulders,Kilkieran Bay and Islands (http://marineregions.org/mrgid/28614),,
Atlantic coast (Ireland),IRL,Galway,Gurr4,53.314849,-9.673079,6.4,6.4,Gurr,SAC,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy sediment among large boulders,Kilkieran Bay and Islands (http://marineregions.org/mrgid/28614),,
Atlantic coast (Spain),ESP,Vigo,TorallaA,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy  ,13E1 (http://marineregions.org/mrgid/40020),,
Atlantic coast (Spain),ESP,Vigo,TorallaB,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy  ,13E1 (http://marineregions.org/mrgid/40020),,
Atlantic coast (Spain),ESP,Vigo,TorallaC,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy  ,13E1 (http://marineregions.org/mrgid/40020),,
Atlantic coast (Spain),ESP,Vigo,TorallaD,42.2256,-8.7606,7,7,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy  ,13E1 (http://marineregions.org/mrgid/40020),,Baltic Sea (Finland),FIN,TZS,Angbat,59.841505,23.248879,4,4,none,MPA; LTER site; continuous hydrographic monitoring,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Angbatsbryggan is a vegetated habitat comprised of mixed macrophyte scpecies (mixed meadow) on sand bottom.,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],vegetated habitat comprised of mixed macrophyte scpecies (mixed meadow) on sand bottom.,Tammisaaren Ja Hangon Saariston Ja Pohjanpitäjänlahden Merensuojelualue (http://marineregions.org/mrgid/27436),,
Baltic Sea (Finland),FIN,TZS,Kummelkobben,59.86442,23.265084,3,6,none,LTER site; close to industrial port; continuous hydrographic monitoring,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky bottom with Fucus,Tammisaaren Ja Hangon Saariston Ja Pohjanpitäjänlahden Merensuojelualue (http://marineregions.org/mrgid/27436),,
Baltic Sea (Finland),FIN,TZS,Spikarna,59.81094,23.206216,3,3,none,MPA; LTER site,LHI (Low human influence),9.4 - Subtidal Sandy  ,"Spikarna is a group of small islands and sublittoral reefs with a fragmented distribution of mussel beds interspersed by pockets of sand fields, stones and gravel. A canopy-forming bladder-wrack belt on a hard-bottom habitat.",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy and seagrass,Tammisaaren Ja Hangon Saariston Ja Pohjanpitäjänlahden Merensuojelualue (http://marineregions.org/mrgid/27436),,
Baltic Sea (Poland),POL,Gdynia,GDY1,54.48522,18.57111,4,4,none,LTER site; MPA,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom)  ,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],stony reef (pebbles and boulders),Zatoka Pucka (http://marineregions.org/mrgid/29088),,
Bay of Biscay (Spain),ESP,Getxo,G1,43.338452,-3.014833,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),,
Bay of Biscay (Spain),ESP,Getxo,G2,43.3385,-3.01491,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),,
Bay of Biscay (Spain),ESP,Getxo,G3,43.33843,-3.01483,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),,
British channel (France),FRA,Roscoff,BasBloS1,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),,
British channel (France),FRA,Roscoff,BasBloS2,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),,
British channel (France),FRA,Roscoff,BasBloS3,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),,
British channel (France),FRA,Roscoff,MarBloR1,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),,
British channel (France),FRA,Roscoff,MarBloR2,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),,
British channel (France),FRA,Roscoff,MarBloR3,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),,
British channel (UK),GBR,Plymouth,MBA1,50.3674,-4.1552,1,1,MBA ,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],saline water [ENVO:00002010],ARMS was suspended below pontoon,Plymouth Sound (http://marineregions.org/mrgid/24206),,
British channel (UK),GBR,Plymouth,MBA1A,50.3673,-4.1554,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),,
British channel (UK),GBR,Plymouth,MBA1B,50.3668,-4.1561,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),,
British channel (UK),GBR,Plymouth,MBA1C,50.3674,-4.1544,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),,
British channel (UK),GBR,Plymouth,MBA2,50.350134,-4.159167,10,10,MBA,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,Plymouth Sound (http://marineregions.org/mrgid/24206),,
East Greenland (Greenland),GRL,Daneborg,Daneborg1,74.3300,-20.3400,15,15,Danborg,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Greenland Sea (http://marineregions.org/mrgid/25238),77C9 (http://marineregions.org/mrgid/39044),
East Greenland (Greenland),GRL,Daneborg,Daneborg2,74.3304,-20.3404,15,15,Danborg,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Greenland Sea (http://marineregions.org/mrgid/25238),77C9 (http://marineregions.org/mrgid/39044),
East Greenland (Greenland),GRL,Daneborg,Daneborg3,74.3308,-20.3408,15,15,Danborg,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Greenland Sea (http://marineregions.org/mrgid/25238),77C9 (http://marineregions.org/mrgid/39044),
Gulf of Aqaba (Israel),ISR,Eilat,Katza1,29.520000,34.934444,10,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384),
Gulf of Aqaba (Israel),ISR,Eilat,Katza2,29.520000,34.934444,10,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384),
Gulf of Aqaba (Israel),ISR,Eilat,NR1,29.50555,34.920278,10,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384),
Gulf of Aqaba (Israel),ISR,Eilat,NR2,29.50555,34.920278,10,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384),
Italy,ITA,AdriaticEastCoast,Ven1,45.316667,12.50000,16,16,Ven,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211), 
Italy,ITA,AdriaticEastCoast,Ven2,45.316667,12.5000,16,16,Ven,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211), 
Italy,ITA,AdriaticEastCoast,Ven3,45.316667,12.5000,16,16,Ven,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,19G2 (http://marineregions.org/mrgid/42084),Italy - Adriatic Sea (http://marineregions.org/mrgid/64211), 
Italy,ITA,RavHarbour,RavH1,44.421488,12.209497,1.5,1.5,RavH,Harbour,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavHarbour,RavH2,44.421488,12.209497,1.5,1.5,RavH,Harbour,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavHarbour,RavH3,44.421488,12.209497,1.5,1.5,RavH,Harbour,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],soft sediment ranging from mud to fine sand,17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavMarina,RavM1,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavMarina,RavM2,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),,
Italy,ITA,RavMarina,RavM3,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],"soft sediment, pontoons",17G2 (http://marineregions.org/mrgid/42082),,
Mediterranean (Greece),GRC,Crete,1HERP,35.343153,25.136605,4,4,none,Marina/Harbour,semi-industrial,9.6 - Subtidal Muddy  ,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],soft muddy seabed,Crete Island (http://marineregions.org/mrgid/48617),,
Mediterranean (Greece),GRC,Crete,2UBPC,35.34662,25.27876,21,21,none,UBP,semi-industrial,9.4 - Subtidal Sandy  ,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sand,Crete Island (http://marineregions.org/mrgid/48617),,
Mediterranean (Slovenia),SVN,GulfOfPiran,BojaVida,45.54875,13.5507,22,22,none,LTER site,LHI (Low human influence),,, ,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy,Gulf of Piran (http://marineregions.org/mrgid/29864),,
Mediterranean (Slovenia),SVN,GulfOfPiran,Fornace,45.5188,13.5673,9,9,none,Research site,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). ", ,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],"sandy mud, with coarse organic elements on the surface",Gulf of Piran (http://marineregions.org/mrgid/29864),,
Mediterranean (Slovenia),SVN,GulfOfPiran,LukaKP,45.564856,13.743586,3,3,none,not provided,industrial,,, ,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],human construction [ENVO:00000070],marine anthropogenic structures,Gulf of Piran (http://marineregions.org/mrgid/29864),,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP1,54.482,8.395,not provided,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP2,54.482,8.395,not provided,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),,
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP3,54.482,8.395,not provided,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),,
