Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth_min (m),Depth_max (m),Field replicates,Monitoring area,Habitat keywords (env_local),IUCN habitat type,Description,Notes,env_broad_scale,env_local_scale,env_medium_scale,add. info,MarineRegion_larger,MarineRegion_smaller, 
Nationalpark Schleswig-Holstein (Germany),DEU,SchleswigHolstein,SHNP4,54.482,8.395,not provided,not provided,SHNP,not provided,protected,,,Failed (as of 01-2023),marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],,,Schleswig-Holstein Wadden Sea and adjacent areas (http://marineregions.org/mrgid/28350),,
North Sea (Belgium),BEL,BelgiumCoast,AJJBC89,51.64971,2.789374,20.82,20.82,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243), 
North Sea (Belgium),BEL,BelgiumCoast,AJJC81,51.6533567,2.79178508,38,38,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AJJC86,51.65264,2.79369998,37,37,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AJJCD78,51.65374944,2.79602577,38,38,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AJJCD89,51.64505,2.793074,18.64,18.64,AJJ,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AZBE1,51.364298,3.20701,7,7,none,Marina,semi-industrial,"12.2 - Sandy Shoreline and/or Beaches, Sand Bars, Spits, etc.  ","ARMS was deployed near marina of Zeebrugge, ARMS attached to tripod, retrieved with acoustic release (no cover crate). Substrate was fine sand-silt (soft-bottom). Very fine silt made filtrations heavy.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Spz3 / Zps3 (http://marineregions.org/mrgid/28748),
North Sea (Belgium),BEL,BelgiumCoast,AZBW1,51.362906,3.183634,12,12,none,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],"sand and silt, fully anoxic zone",Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Spz3 / Zps3 (http://marineregions.org/mrgid/28748),
North Sea (Belgium),BEL,BelgiumCoast,AZFPin,51.66522,2.82558,37,37,none,Wind farm,LHI (Low human influence),9.5 - Subtidal Sandy-Mud  ,"Inside a windmill park. ARMS was deployed on a Acoustic Zooplankton Fish Profiler (AZFP's). As we were unable to dive, we undoubtedly lost most of the motile fraction. Still, many motile specimens were recorded (albeit in a rather low species diversity at first sight). The AZFP frame itself was also heavily occupied with motile and sessile organisms.",,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,AZFPout,51.68821,2.84921,38,38,none,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,BirkenfelsA,51.64816667,2.53583333,38.81,38.81,Birkenfels,near ship wreck with very fine silt ,semi-industrial,,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,BirkenfelsB,51.64816667,2.53583333,38.81,38.81,Birkenfels,near ship wreck with very fine silt ,semi-industrial,,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243),
North Sea (Belgium),BEL,BelgiumCoast,CPowerA,51.579833,2.995500,26,26,CPower,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Zeeland banks (http://marineregions.org/mrgid/2420),
North Sea (Belgium),BEL,BelgiumCoast,CPowerB,51.579833,2.995500,26,26,CPower,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Zeeland banks (http://marineregions.org/mrgid/2420),
North Sea (Belgium),BEL,BelgiumCoast,CPowerC,51.579833,2.995500,26,26,CPower,Wind farm,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Zeeland banks (http://marineregions.org/mrgid/2420),
North Sea (Belgium),BEL,BelgiumCoast,CoastbustersA,51.11486388,2.57857672,9,9,none,bioanchoring facility Coastbusters project,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 12NM (http://marineregions.org/mrgid/49010),
North Sea (Belgium),BEL,BelgiumCoast,CoastbustersB,51.11529044,2.57995513,9,9,none,bioanchoring facility Coastbusters project,LHI (Low human influence),,, ,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 12NM (http://marineregions.org/mrgid/49010),
North Sea (Denmark),DNK,Limfjord,Green33,56.90155,9.05516667,4,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)",
North Sea (Denmark),DNK,Limfjord,Red2,56.89985,9.05663333,4,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)",
North Sea (Denmark),DNK,Limfjord,Yellow8,56.90131667,9.05733333,4,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)",
North Sea Kattegat (Denmark),DNK,Laeso,Laeso1,57.25689,11.14193,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",,
North Sea Kattegat (Denmark),DNK,Laeso,Laeso2,57.25692,11.14197,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",,
North Sea Kattegat (Denmark),DNK,Laeso,Laeso3,57.25692,11.14199,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",,
North Sea Kattegat (Sweden),SWE,SWC,Bjorko1,57.717984,11.679989,1.5,2,none,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Gbg1,57.664805,11.714735,6,6,none,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],flat hard bottom,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Gbg2,57.664608,11.732876,5,5,none,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],flat hard bottom,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Gbg3,57.680533,11.740578,5,5,none,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],flat hard bottom,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Gbg4,57.680805,11.728331,6,6,none,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],flat hard bottom,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Helsingborg1,56.026272,12.695728,2,2,Helsingborg,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],,The Sound (http://marineregions.org/mrgid/24056),,
North Sea Kattegat (Sweden),SWE,SWC,Helsingborg2,56.018061,12.700541,2,2,Helsingborg,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],,The Sound (http://marineregions.org/mrgid/24056),,
North Sea Kattegat (Sweden),SWE,SWC,Hjuvik1,57.703221,11.711363,2,2,none,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand1,57.914434,11.594154,4,5,Marstrand,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand2,57.903512,11.581548,4,5,Marstrand,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand3,57.889278,11.585722,1,2,Marstrand,Marina,semi-industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],,44G1 (http://marineregions.org/mrgid/42011),,
North Sea Kattegat (Sweden),SWE,SWC,Preemraff1,58.3533,11.43486,3,3,Preemraff,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],rocky reef [ENVO:00000130],,45G1 (http://marineregions.org/mrgid/42012),,
North Sea Kattegat (Sweden),SWE,SWC,Preemraff2,58.35405,11.43394,3,3,Preemraff,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],rocky reef [ENVO:00000130],,45G1 (http://marineregions.org/mrgid/42012),,
North Sea Kattegat (Sweden),SWE,SWC,Varberg1,57.1133741,12.2299832,2,2,Varberg,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,43G2 (http://marineregions.org/mrgid/42108),,
North Sea Kattegat (Sweden),SWE,SWC,Varberg2,57.1126278,12.2302732,2,2,Varberg,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,43G2 (http://marineregions.org/mrgid/42108),,
North Sea Kattegat (Sweden),SWE,SWC,Varberg3,57.1107004,12.2439775,2,2,Varberg,Industrial port,industrial,,,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],saline water [ENVO:00002010],hung from a rope in marina,43G2 (http://marineregions.org/mrgid/42108),,
North Sea Skagerrak (Sweden),SWE,Koster,VH1,58.875155,11.103194,24,24,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),,
North Sea Skagerrak (Sweden),SWE,Koster,VH2,58.87633,11.111884,22,22,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),,
North Sea Skagerrak (Sweden),SWE,Koster,VH3,58.859877,11.080491,25,25,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),,
Svalbard (Norway),NOR,Svalbard,S1,78.21302778,15.23361111,14,14,S,LTER site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),,
Svalbard (Norway),NOR,Svalbard,S1A,78.21302778,15.23361111,14,14,S1,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),,
Svalbard (Norway),NOR,Svalbard,S1B,78.21302778,15.23361111,14,14,S1,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),,
Svalbard (Norway),NOR,Svalbard,S1C,78.21302778,15.23361111,14,14,S1,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),,
Svalbard (Norway),NOR,Svalbard,S2,78.18833333,15.14472222,14,14,S,LTER site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],"small rocks overlying mud, ",85G5 (http://marineregions.org/mrgid/42425),,
West Greenland (Greenland),GRL,Nuuk,Nuuk1,64.1405,-51.3906,15,15,Nuuk,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Davis Strait (http://marineregions.org/mrgid/25271),,
West Greenland (Greenland),GRL,Nuuk,Nuuk2,64.1404,-51.3904,15,15,Nuuk,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Davis Strait (http://marineregions.org/mrgid/25271),,
West Greenland (Greenland),GRL,Nuuk,Nuuk3,64.1408,-51.3908,15,15,Nuuk,LTER site,LHI (Low human influence),,,,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Greenlandic part of the Davis Strait (http://marineregions.org/mrgid/25271),,
