MaterialSample-ID,AreaReplicateID (ARMS unit area replicates),TechnicalReplicateID (material replicates for sequencing purposes)
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100,no replicate,no replicate
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500,no replicate,no replicate
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40,no replicate,no replicate
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH,no replicate,no replicate
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH,no replicate,no replicate
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100,no replicate,no replicate
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500,no replicate,no replicate
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40,no replicate,no replicate
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,no replicate,no replicate
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,no replicate,no replicate
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,no replicate,no replicate
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,no replicate,no replicate
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,no replicate,no replicate
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,no replicate,no replicate
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,no replicate,no replicate
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,no replicate,no replicate
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,no replicate,no replicate
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,no replicate,no replicate
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,no replicate,no replicate
ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,no replicate,no replicate
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF100,no replicate,no replicate
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500,no replicate,no replicate
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_SF40,no replicate,no replicate
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,no replicate,no replicate
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,no replicate,no replicate
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,no replicate,no replicate
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100,no replicate,no replicate
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500,no replicate,no replicate
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,no replicate,no replicate
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40,no replicate,no replicate
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100,no replicate,no replicate
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500,no replicate,no replicate
ARMS_Bodo_GStraB_20190621_20201207_MF100,ARMS_Bodo_GStra_20190621_20201207,no replicate
ARMS_Bodo_GStraB_20190621_20201207_MF500,ARMS_Bodo_GStra_20190621_20201207,no replicate
ARMS_Bodo_GStraB_20190621_20201207_SF50_A,ARMS_Bodo_GStra_20190621_20201207,no replicate
ARMS_Bodo_GStraM_20190621_20201207_MF100,ARMS_Bodo_GStra_20190621_20201207,no replicate
ARMS_Bodo_GStraM_20190621_20201207_MF500,ARMS_Bodo_GStra_20190621_20201207,no replicate
ARMS_Bodo_GStraM_20190621_20201207_SF50_A,ARMS_Bodo_GStra_20190621_20201207,no replicate
ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO,no replicate,no replicate
ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH,no replicate,no replicate
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO,no replicate,no replicate
ARMS_Crete_1HERP_20180928_20190128_MF500_ETOH,no replicate,no replicate
ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH,no replicate,no replicate
ARMS_Crete_1HERP_20180928_20190128_SED,no replicate,no replicate
ARMS_Crete_1HERP_20180928_20190128_SF_DMSO,no replicate,no replicate
ARMS_Crete_1HERP_20180928_20190128_SF_ETOH,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20191011_MF500,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20191011_MF90,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20191011_SF,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20200210_MF500,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20200210_MF90,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20200210_SF,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20200618_MF500,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20200618_MF90,no replicate,no replicate
ARMS_Crete_1HERP_20190612_20200618_SF,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20210122_MF500,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20210122_MF90,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20210122_SF,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20210625_MF500,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20210625_MF90,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20210625_SF,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20211012_MF500,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20211012_MF90,no replicate,no replicate
ARMS_Crete_1HERP_20200903_20211012_SF,no replicate,no replicate
ARMS_Crete_2UBPC_20190924_20201211_MF500,no replicate,no replicate
ARMS_Crete_2UBPC_20190924_20201211_MF90,no replicate,no replicate
ARMS_Crete_2UBPC_20190924_20201211_SF,no replicate,no replicate
ARMS_Crete_2UBPC_20201120_20220901_SF,no replicate,no replicate
ARMS_Crete_2UBPC_20201120_20220901_MF90,no replicate,no replicate
ARMS_Crete_2UBPC_20201120_20220901_MF500,no replicate,no replicate
ARMS_Eilat_Katza1_20181024_20200706_MF100,no replicate,no replicate
ARMS_Eilat_Katza1_20181024_20200706_MF500,no replicate,no replicate
ARMS_Eilat_Katza1_20181024_20200706_SF45,no replicate,no replicate
ARMS_Eilat_Katza2_20181024_20200803_MF100,no replicate,no replicate
ARMS_Eilat_Katza2_20181024_20200803_MF500,no replicate,no replicate
ARMS_Eilat_Katza2_20181024_20200803_SF45,no replicate,no replicate
ARMS_Eilat_NR1_20181017_20200204_MF100,ARMS_Eilat_NR_20181017_20200204,no replicate
ARMS_Eilat_NR1_20181017_20200204_MF500,ARMS_Eilat_NR_20181017_20200204,no replicate
ARMS_Eilat_NR1_20181017_20200204_SF45,ARMS_Eilat_NR_20181017_20200204,no replicate
ARMS_Eilat_NR2_20181017_20200524_MF100,ARMS_Eilat_NR_20181017_20200204,no replicate
ARMS_Eilat_NR2_20181017_20200524_MF500,ARMS_Eilat_NR_20181017_20200204,no replicate
ARMS_Eilat_NR2_20181017_20200524_SF45,ARMS_Eilat_NR_20181017_20200204,no replicate
ARMS_Galway_Gurr1_20200721_20210708_MF100,no replicate,no replicate
ARMS_Galway_Gurr1_20200721_20210708_MF500,no replicate,no replicate
ARMS_Galway_Gurr1_20200721_20210708_SF40,no replicate,no replicate
ARMS_Galway_Gurr2_20200721_20210707_MF100,no replicate,no replicate
ARMS_Galway_Gurr2_20200721_20210707_MF500,no replicate,no replicate
ARMS_Galway_Gurr2_20200721_20210707_SF40,no replicate,no replicate
ARMS_Galway_Gurr3_20200723_20210708_MF100,no replicate,no replicate
ARMS_Galway_Gurr3_20200723_20210708_MF500,no replicate,no replicate
ARMS_Galway_Gurr3_20200723_20210708_SF40,no replicate,no replicate
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO,no replicate,no replicate
ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO,no replicate,no replicate
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO,no replicate,no replicate
ARMS_Gdynia_GDY1_20190619_20191029_MF100,no replicate,no replicate
ARMS_Gdynia_GDY1_20190619_20191029_MF500,no replicate,no replicate
ARMS_Gdynia_GDY1_20190619_20191029_SF38,no replicate,no replicate
ARMS_Getxo_G1_20190624_20191016_MF100,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G1_20190624_20191016_MF500,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G1_20190624_20191016_SF40,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G1_20200624_20201103_MF100,ARMS_Getxo_G_20200624_20201103,no replicate
ARMS_Getxo_G1_20200624_20201103_MF500,ARMS_Getxo_G_20200624_20201103,no replicate
ARMS_Getxo_G1_20200624_20201103_SF40,ARMS_Getxo_G_20200624_20201103,no replicate
ARMS_Getxo_G2_20190624_20191016_MF100,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G2_20190624_20191016_MF500,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G2_20190624_20191016_SF40,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G2_20200624_20201103_MF100,ARMS_Getxo_G_20200624_20201103,no replicate
ARMS_Getxo_G2_20200624_20201103_SF40,ARMS_Getxo_G_20200624_20201103,no replicate
ARMS_Getxo_G3_20190624_20191016_MF100,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G3_20190624_20191016_MF500,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G3_20190624_20191016_SF40,ARMS_Getxo_G_20190624_20191016,no replicate
ARMS_Getxo_G3_20200624_20201103_MF100,ARMS_Getxo_G_20200624_20201103,no replicate
ARMS_Getxo_G3_20200624_20201103_SF40,ARMS_Getxo_G_20200624_20201103,no replicate
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_ETOH,no replicate,no replicate
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH,no replicate,no replicate
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH,no replicate,no replicate
ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,no replicate,no replicate
ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,no replicate,no replicate
ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,no replicate,no replicate
ARMS_Koster_VH1_20190527_20200716_MF100,no replicate,no replicate
ARMS_Koster_VH1_20190527_20200716_MF500,no replicate,no replicate
ARMS_Koster_VH1_20190527_20200716_SF40,no replicate,no replicate
ARMS_Koster_VH1_20200716_20210608_MF100,no replicate,no replicate
ARMS_Koster_VH1_20200716_20210608_MF500,no replicate,no replicate
ARMS_Koster_VH1_20200716_20210608_SF40,no replicate,no replicate
ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,no replicate,no replicate
ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,no replicate,no replicate
ARMS_Koster_VH2_20180418_20180906_PS90_ETOH,no replicate,no replicate
ARMS_Koster_VH2_20180418_20180906_SED100_DMSO,no replicate,no replicate
ARMS_Koster_VH2_20180418_20180906_SED500_DMSO,no replicate,no replicate
ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,no replicate,no replicate
ARMS_Koster_VH2_20180418_20180906_SF40_ETOH,no replicate,no replicate
ARMS_Koster_VH2_20190527_20200716_MF100,no replicate,no replicate
ARMS_Koster_VH2_20190527_20200716_MF500,no replicate,no replicate
ARMS_Koster_VH2_20190527_20200716_SF40,no replicate,no replicate
ARMS_Koster_VH2_20200716_20210608_MF100,no replicate,no replicate
ARMS_Koster_VH2_20200716_20210608_MF500,no replicate,no replicate
ARMS_Koster_VH2_20200716_20210608_SF40,no replicate,no replicate
ARMS_Koster_VH3_20180418_20190527_MF100_DMSO,no replicate,no replicate
ARMS_Koster_VH3_20180418_20190527_MF500_DMSO,no replicate,no replicate
ARMS_Koster_VH3_20180418_20190527_SF40_DMSO,no replicate,no replicate
ARMS_Koster_VH3_20190527_20200716_MF100,no replicate,no replicate
ARMS_Koster_VH3_20190527_20200716_MF500,no replicate,no replicate
ARMS_Koster_VH3_20190527_20200716_SF40,no replicate,no replicate
ARMS_Koster_VH3_20200716_20210608_MF100,no replicate,no replicate
ARMS_Koster_VH3_20200716_20210608_MF500,no replicate,no replicate
ARMS_Koster_VH3_20200716_20210608_SF40,no replicate,no replicate
ARMS_Laeso_Laeso1_20190819_20200811_MF100,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Laeso_Laeso1_20190819_20200811_MF500,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Laeso_Laeso1_20190819_20200811_SF40,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Laeso_Laeso2_20190819_20200811_MF100,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Laeso_Laeso2_20190819_20200811_MF500,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Laeso_Laeso2_20190819_20200811_SF40,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Laeso_Laeso3_20190819_20200811_MF100,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Laeso_Laeso3_20190819_20200811_MF500,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Laeso_Laeso3_20190819_20200811_SF40,ARMS_Laeso_Laeso_20190819_20200811,no replicate
ARMS_Limfjord_Green33_20190618_20191029_MF100,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Limfjord_Green33_20190618_20191029_MF500,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Limfjord_Green33_20190618_20191029_SF40,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Limfjord_Green33_20191029_20201110_MF100,ARMS_Limfjord_Limfjord_20191029_20201110,no replicate
ARMS_Limfjord_Green33_20191029_20201110_MF500,ARMS_Limfjord_Limfjord_20191029_20201110,no replicate
ARMS_Limfjord_Green33_20191029_20201110_SF40,ARMS_Limfjord_Limfjord_20191029_20201110,no replicate
ARMS_Limfjord_Green33_20201110_20211115_MF100,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Green33_20201110_20211115_MF500,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Green33_20201110_20211115_SF40,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Yellow8_20201110_20211115_MF100,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Yellow8_20201110_20211115_MF500,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Yellow8_20201110_20211115_SF40,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Red2_20191029_20201110_MF100,ARMS_Limfjord_Limfjord_20191029_20201110,no replicate
ARMS_Limfjord_Red2_20191029_20201110_MF500,ARMS_Limfjord_Limfjord_20191029_20201110,no replicate
ARMS_Limfjord_Red2_20191029_20201110_SF40,ARMS_Limfjord_Limfjord_20191029_20201110,no replicate
ARMS_Limfjord_Red2_20201110_20211115_MF100,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Red2_20201110_20211115_MF500,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Red2_20201110_20211115_SF40,ARMS_Limfjord_Limfjord_20201110_20211115,no replicate
ARMS_Limfjord_Red2_20190618_20191029_MF100,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Limfjord_Red2_20190618_20191029_MF500,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Limfjord_Red2_20190618_20191029_SF40,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Limfjord_Yellow8_20190618_20191029_MF100,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Limfjord_Yellow8_20190618_20191029_MF500,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Limfjord_Yellow8_20190618_20191029_SF40,ARMS_Limfjord_Limfjord_20190618_20191029,no replicate
ARMS_Plymouth_MBA1_20180701_20181001_MF100_DMSO,no replicate,no replicate
ARMS_Plymouth_MBA1_20180701_20181001_MF100_ETOH,no replicate,no replicate
ARMS_Plymouth_MBA1_20180701_20181001_MF500_DMSO,no replicate,no replicate
ARMS_Plymouth_MBA1_20180701_20181001_MF500_ETOH,no replicate,no replicate
ARMS_Plymouth_MBA1_20180701_20181001_SF40_DMSO,no replicate,no replicate
ARMS_Plymouth_MBA1_20180701_20181001_SF40_ETOH,no replicate,no replicate
ARMS_Plymouth_MBA1A_20190716_20190916_MF100,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1A_20190716_20190916_MF500,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1A_20190716_20190916_SF40,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1A_20200717_20200921_MF100,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1A_20200717_20200921_MF500,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1A_20200717_20200921_SF40,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1B_20190716_20190918_MF100,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1B_20190716_20190918_MF500,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1B_20190716_20190918_SF40,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1B_20200717_20200922_MF100,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1B_20200717_20200922_MF500,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1B_20200717_20200922_SF40,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1C_20190716_20190920_MF100,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1C_20190716_20190920_MF500,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1C_20190716_20190920_SF40,ARMS_Plymouth_MBA1_20190716_20190916,no replicate
ARMS_Plymouth_MBA1C_20200717_20200923_MF100,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1C_20200717_20200923_MF500,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA1C_20200717_20200923_SF40,ARMS_Plymouth_MBA1_20200717_20200921,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO,no replicate,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH,no replicate,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_MF500_ETOH,no replicate,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_SF40_DMSO,no replicate,no replicate
ARMS_Plymouth_MBA2_20180701_20181001_SF40_ETOH,no replicate,no replicate
ARMS_RavHarbour_RavH1_20210422_20210722_MF100,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH1_20210422_20210722_MF500,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH1_20210422_20210722_SF40,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH2_20210422_20210722_MF100,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH2_20210422_20210722_MF500,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH2_20210422_20210722_SF40,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH3_20210422_20210722_MF100,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH3_20210422_20210722_MF500,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavHarbour_RavH3_20210422_20210722_SF40,ARMS_RavHarbour_RavH_20210422_20210722,no replicate
ARMS_RavMarina_RavM1_20210422_20210722_MF100,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM1_20210422_20210722_MF500,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM1_20210422_20210722_SF40,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM2_20210422_20210722_MF100,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM2_20210422_20210722_MF500,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM2_20210422_20210722_SF40,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM3_20210422_20210722_MF100,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM3_20210422_20210722_MF500,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_RavMarina_RavM3_20210422_20210722_SF40,ARMS_RavMarina_RavM_20210422_20210722,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_MF100_DMSO,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_MF500_DMSO,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_A,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_B,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_A,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_B,ARMS_Roscoff_BasBloS_20180711_20181025,no replicate
ARMS_Roscoff_BasBloS1_20190612_20200527_MF100,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS1_20190612_20200527_MF500,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS1_20190612_20200527_SF40,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS2_20190612_20200528_MF100,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS2_20190612_20200528_MF500,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS2_20190612_20200528_SF40,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS3_20190612_20200529_MF100,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS3_20190612_20200529_MF500,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_BasBloS3_20190612_20200529_SF40,ARMS_Roscoff_BasBloS_20190612_20200527,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_MF100_DMSO,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_MF100_ETOH,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_MF500_DMSO,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_MF500_ETOH,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_SF40_DMSO,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20180709_20181024_SF40_ETOH,ARMS_Roscoff_MarBloR_20180709_20181024,no replicate
ARMS_Roscoff_MarBloR1_20190612_20190916_MF100,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR1_20190612_20190916_MF500,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR1_20190612_20190916_SF40,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR2_20190612_20190917_MF100,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR2_20190612_20190917_MF500,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR2_20190612_20190917_SF40,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR3_20190612_20190918_MF100,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR3_20190612_20190918_MF500,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Roscoff_MarBloR3_20190612_20190918_SF40,ARMS_Roscoff_MarBloR_20190612_20190916,no replicate
ARMS_Svalbard_S1_20180706_20190806_MF100_ETOH,no replicate,no replicate
ARMS_Svalbard_S1_20180706_20190806_MF500_ETOH,no replicate,no replicate
ARMS_Svalbard_S1_20180706_20190806_SF40_ETOH,no replicate,no replicate
ARMS_Svalbard_S1_20190806_20200804_MF100,no replicate,no replicate
